word,example
"게이트 키퍼","게이트 키퍼, 약국에서 국민 정신 건강을 지킨다."
"게이트웨이","4세대 보안 취약점이 5세대 침투 위한 게이트웨이가 될 것이다."
"게이티드 커뮤니티","편리함과 보안성 갖춘 게이티드 커뮤니티 단독 주택이 눈길을 끈다."
"게임 머니","게임 머니 판다고 속여 돈만 가로챈 20대가 실형 선고를 받았다."
"게임 체인저","코로나 백신 ‘게임 체인저’ 누가 될까?"
"게임 퍼블리셔","게임 개발은 개발사가 담당하고 게임 퍼블리셔는 운영과 마케팅을 담당한다."
"게임 포인트","게임 포인트 현금 환전해준 불법 성인 오락실 업주가 구속됐다."
"게임메이커","팬을 만족시키는 게임메이커가 되겠다."
"경제 라인","시진핑 중국 국가주석이 외교·경제 라인을 대동하고 평양에 도착했다."
"경제 벨트","영호남을 아우르는 경제 벨트와 공항이 필요하다."
"고스팅","아르바이트생 고용주 10명 중 8명 “‘알바 고스팅’ 경험 있다”"
"골 게터","골 게터 10명, 20세 이하 축구대표팀이 돌풍을 일으켰다."
"골드러시","자연산 동충하초의 인기로 현대판 골드러시가 벌어지고 있다."
"골든 블록","강남역 역세권 ‘골든 블록’ 오피스텔이 뜬다."
"골든 시드","한국형 골든 시드로 버섯 경쟁력 높인다."
"골든 위크","면세점 업계는 노동절·골든 위크 등 5월 특수를 놓친 셈이다."
"골든 크로스","주가가 5% 이상 상승하며, 단기간에 골든 크로스가 나타나고 있다."
"골든아워","응급 의료 헬기 착륙 지점이 응급실 50m 내로 있어야 골든아워를 놓치지 않는다."
"골든트라이앵글","동남아 골든트라이앵글에서 사상 최대 규모 마약을 압수했다."
"골프 웨어","골프 웨어 시장 '2030·여성·온라인' 집중 공략한다."
"공식 스토어","공식 스토어에서 할인되는 특화 카드가 출시됐다."
"공유 오피스","공유 오피스에 입주하는 기업이 매년 증가하고 있다."
"관광 벨트","아산 문화 공원을 역사·문화·관광 벨트의 거점 공간으로 조성할 계획이다."
"관전 포인트","사상 첫 화상 회의로 열리는 총회, 관전 포인트 2가지를 알아본다."
"관피아","금융 당국 출신 관료가 유관 기관으로 가면서 관피아 논란이 일었다."
"구루","그는 잡스-베이조스에 영감을 준 ‘혁신가들의 구루’이다."
"구리스","구리스 펌프와 자동 구리스 주입기 선보인다."
"구스다운","여름용 구스다운 이불 최대 77% 할인 판매한다."
"구호 키트","감염 예방 물품 및 구호 키트 지원 등 긴급 구호 사업을 추진하고 있다."
"국제 옵서버","해수부, 바다의 파수꾼 '국제 옵서버' 모집한다."
"굿 다운로더","방송·저작권 관련 단체가 방송 부문 굿 다운로더 운동을 펼친다."
"굿 타이밍","줄기세포 치료의 굿 타이밍이다."
"굿바이 히트","굿바이 히트로 경기 종료 1분전 역전 드라마가 펼쳐졌다."
"굿즈","제주 항공, ‘펭수’ 굿즈 한정 판매한다."
"규제 샌드박스","금융 샌드박스 제도 시행 2년, 혁신 금융 전담 인력 1237명 늘었다."
"규제 프리 존","규제 프리 존에서 자율 주행차, 수소 차 등 디지털 신산업을 활성화한다."
"그라운드","그의 움직임은 단순히 그라운드에서만 빛나는 것이 아니다."
"그라운드 제로","베이루트 폭발 현장은 그야말로 '그라운드 제로'였다."
"그라피티","그라피티로 보는 독립운동가, 정독도서관에서 특별전 연다."
"그래픽","도의 70년 역사를 기사와 사진, 그래픽 등의 기록물로 소개한다."
"그래픽 노블","만화와 소설 그 중간쯤 ‘그래픽 노블'로 재탄생한 책이 인기다."
"그랜드 딜","배터리 제조 시설 건설 및 기술 이전을 포함한 그랜드 딜에 합의했다."
"그랜드 바겐","미국 정부의 새 대북 정책은 그랜드 바겐도 전략적 인내도 아니다."
"그랜드 세일","경기 관광 공사, 여행 상품 '그랜드 세일' 진행한다."
"그랜드 슬램","이 선수는 그랜드 슬램 달성 등 최고의 업적과 명경기를 남겼다."
"그랜드 오픈","해외여행 길 열릴 기대로 면세점 업계가 그랜드 오픈 채비에 나섰다."
"그랜드 플랜","반도체 산업의 비약적 성장을 위해 그랜드 플랜이 필요하다."
"그러데이션","그러데이션 기법을 적용한 형형색색 불빛이 들어온다."
"그레이","그레이 크리스마스, 초미세먼지는 겨울에 왜 더 심할까?"
"그레이딩","희귀성이 있고 평가 점수가 높게 그레이딩된 카드는 비싼 가격에 판매되는 경우도 있다."
"그레이존","당뇨 렌즈 같은 융복합 의료기기의 규제 그레이존이 해소될 전망이다."
"그레이트","따로 가는 경제와 주가 '그레이트 디커플링'이 일어나고 있다."
"그레이팅","그레이팅 방충망으로 위생해충을 사전에 차단할 수 있다."
"그로서란트","식재료 구입과 식사를 동시에하는 그로서란트가 인기다."
"그로서리","그로서리 매장을 체험형, 고객 맞춤형, 정보 제공형 매장으로 탈바꿈한다."
"그로테스크","강남스타일 손목 조형물은 그로테스크하다는 평을 받았다."
"그루밍","청소년을 위험에 빠뜨리는 온라인 그루밍의 근절 방안을 논의한다."
"그루밍 성범죄","그루밍 성범죄에 대응하기 위해 함정 수사도 허용한다."
"그루빙","그루빙은 졸음운전자를 깨운다."
"그룹 멘토","그룹 멘토를 할 때에는 지도받는 각 단위 조직의 특성을 잘 파악해야 한다."
"그룹 투어","그룹 투어 중단으로 식당, 전세버스, 통역사까지 연쇄적으로 휴업중이다."
"그룹웨어","중소기업 재택근무에 그룹웨어 적극 활용한다."
"그룹홈","전국 410개 그룹홈에 1억 원 상당 식료품 전달한다."
"그리드","현대적인 감각의 그리드 디자인이 특징이다."
"그리드 컴퓨팅","그리드 컴퓨팅 상용화 경쟁이 시작됐다."
"그리퍼","이 그리퍼는 물건을 잡는 데 실패할 경우 처음부터 다시 동작을 시도하는 것이 아니라, 더 잘 잡기 위해 반사적으로 물체를 굴리거나 꼬집어 잡는다."
"그린","그린 수소 생산 비용 5년간 40~50% 줄었지만 ""아직 갈 길 멀다"""
"그린 ICT","노후 학교 2835곳, 그린 ICT환경으로 바꾼다."
"그린 IT","그린 IT, 이제 선택 아닌 필수다."
"그린 네트워크","산림 조경 숲 조성 '그린 네트워크' 구축한다."
"그린 라이트","증권사 3분기 실적 '그린 라이트'여도 우려되는 이유는?"
"그린 레시피","추석 연휴, 그린 레시피 실천하는 방법을 소개한다."
"그린 루프","그린 루프, 서울에만 30여 곳 만든다."
"그린 리모델링","노후 공공 임대 주택 그린 리모델링한다."
"그린 모빌리티","서울시, 그린 모빌리티 선도할 전기 버스 도입에 박차를 가한다."
"그린 바이오","구원 투수로 뜬 그린 바이오 기술, 식물로 코로나 백신 만든다."
"그린 본드","3천억 원 그린 본드 발행해 친환경 사업 강화한다."
"그린 빌리지","그린 빌리지로 에너지 자립 만들어 간다."
"그린 스마트","교육청, 그린 스마트 학교 사업의 학교 현장 이해를 돕는다."
"그린 스마트 시티","전남 순천시는 도시의 미래를 그리는 그린 스마트 시티 구현을 위해 제도 정비와 정보통신망 기본계획을 수립한다고 2일 밝혔다."
"그린 스완","최근 들어 기상 재해가 빈번해지면서 기후 위기가 현실화하고 있다. 올해 세계경제포럼에서 가장 큰 글로벌 위기로 기상 이변을 선정했고, 제결제은행(BIS)이 2020년기후변화가 초래할 위기를 '그린 스완'이라는 신 용어로 경고한 그대로이다."
"그린 시티","그린 시티 삼척, ""대형 생활 폐기물 배출 인터넷으로 간편하게 하세요"""
"그린 오션","그린 오션이 세계 경제의 판도를 바꾸고 있다."
"그린 인프라","안전하고 쾌적한 생태 환경을 만들기 위해 그린 인프라를 구축한다."
"그린 잡","네덜란드에는 이와 관련된 그린 잡으로 ‘순환경제 연구원’이 있다."
"그린 존","폭격 피하려 만든 바그다드 '그린 존'이 오히려 잦은 공격 대상이 되었다."
"그린 카","수소 차로 그린 카 시장 이끈다."
"그린 캠퍼스","서울대 등 그린 캠퍼스 선정, 친환경 교정 조성·인재 양성한다."
"그린 테크","그린 테크는 청정에너지 생산 기술, 폐기물 자원순환 기술 등을 통해 에너지와 자원을 효율적으로 사용하고 오염물질 배출을 최소화하는 기술이다."
"그린 투어리즘","휴가철 농촌 체험 '그린 투어리즘'이 인기다."
"그린 파킹","주택가 고질적 주차문제, 내 집 주차장 그린 파킹으로 해소"
"그린 포트폴리오","그린 포트폴리오로의 전환을 통해 신규 성장동력을 발굴한다."
"그린 푸드 존","신학기 앞두고 그린 푸드 존 식품 위생 점검한다."
"그린 프리미엄","이들 기업은 청정 전력에 대한 '그린 프리미엄'을 이용해 배출량 감축을 허위로 주장한 것으로 알려졌다."
"그린 학교","교육청은 그린 학교 사업의 안정적인 추진을 위해 설명회를 개최했다."
"그린 홈","정부는 오는 2035년까지 그린 홈을 100만 가구로 확대한다는 구상이다."
"그린벨트","그린벨트 해제해 공익사업 추진할 때 중복 행정 절차 없앤다."
"그린슈머","새 패딩 줄게 헌 패딩 다오, 기업들 '그린슈머' 공략한다."
"그린웨이","녹지 측면에서는 녹지 벨트와 생태 통로, 그린웨이, 자전거 도로 등을 조성하기로 했다."
"그린테일","유통 업계, '그린테일'에 주목해 친환경 소재 활용 가속화한다."
"그린피","한복 입고 오면 그린피 할인해 준다."
"그린필드 투자","지난해 미국의 연간 외국인 직접투자액은 전년 대비 소폭 감소했다. 다만 그린필드 투자는 꾸준히 증가해 사상 최고치를 기록한 것으로 나타났다."
"그립","그립 잘 잡아야 골프가 신난다."
"글라스","뚜껑까지 투명한 글라스 밀폐 용기가 출시됐다."
"글램핑","위기 속 창의 경영, 호텔 객실에서 글램핑 즐겨요."
"글러브","의료 봉사자들은 의료 글러브가 소진될까 봐 불안해 했다."
"글로벌","글로벌 독도 홍보 대사 발대식이 열렸다."
"글로벌 네트워크","해외 우리말 방송사 모여 글로벌 네트워크 발전 방안 모색한다."
"글로벌 리더","학교 방송실 현대화 사업으로 글로벌 리더 육성에 앞장선다."
"글로벌 리더십","미국은 글로벌 리더십 회복을 위하여 우방국과의 연대를 모색할 것이다."
"글로벌 몰","중소기업의 글로벌 몰 입점 지원을 확대한다."
"글로벌 밸류 체인","ㅎ기업이 ㅇ기업을 인수해 글로벌 밸류 체인 확대 및 성장 동력을 확보했다."
"글로벌 브랜드","글로벌 브랜드 속속 상륙, 뜨거운 ‘전기차 경쟁’ 시작됐다."
"글로벌 셀러","목포대, ‘글로벌 셀러’ 양성으로 중소기업 수출 지원한다."
"글로벌 스탠더드","글로벌 스탠더드 금융 그룹으로 도약을 선포했다."
"글로벌 이슈","탄소 중립이 글로벌 이슈로 떠오르면서 탈탄소 전환에 속도를 내고 있다."
"글로벌 체인","40년 경영 비법과 차별화로 글로벌 체인화 본격 시동 건다."
"글로벌 캠퍼스","유학생 15만 시대 들여다 보니, 무늬만 글로벌 캠퍼스?"
"글로벌 트렌드","방역과 경제를 넘어 문화에서도 한류는 글로벌 트렌드를 선도하고 있다."
"글로벌 파트너십","건설 사업 분야에서 전략적 글로벌 파트너십을 구축하기로 협약했다."
"글로벌 펀드","글로벌 펀드 조성해 신생 기업에 투자한다."
"글로벌 핀테크","글로벌 핀테크 기업과 손잡고 유럽 금융 시장 공략한다."
"글로벌 허브","첨단 산업의 글로벌 허브가 되기 위해 외국인 투자 유치가 필요하다."
"글로벌리즘","한국 대중문화 산업의 또 다른 혁신 경쟁력은 글로벌리즘이다."
"글로브 월","검체 채취 시 의료진-환자 분리된 글로브 월 도입한다."
"글로컬라이제이션","글로컬라이제이션 시대, 공통 규범이 필요하다."
"글루텐 프리","'글루텐 프리' 쌀가루 대체 품종으로 건강 챙기세요!"
"기브 앤드 테이크","“직원이 곧 경쟁력”, ‘기브 앤드 테이크’ 경영 철학으로 성장 이끈다."
"기증 스테이션","12일 전주시의회 1층 로비 아름다운가게 물품 기증 스테이션에 의원들과 의회사무국 직원들이 늘어섰다."
"기프트","한가위 기프트 대전 펼쳐, 추석 선물 세트 할인한다."
"기프트 숍","인터넷 기프트 숍에 손님 몰린다."
"기프트 카드","구매와 배송이 결합된 농산물 '기프트 카드' 출시한다."
"기프티콘","상품권은 백화점 상품권뿐? 주식 상품권, 기프티콘도 있다."
"기후 테크","지구온난화로 기후 테크의 보급과 활성화가 주요 과제로 떠올랐다."
"기후플레이션","최근 ‘기후플레이션’을 절감할 수 있는 품목은 배추다. 올여름 강원도 고랭지에서 생산하는 배추가 폭염에 의해 시들해졌고, 결국 여름 배추 수확량이 감소했다. 또한 결구(배추 등 채소류 잎이 여러 겹 겹쳐 속이 차는 현상)가 부진해 상품성이 낮았다."
"긱 워커","디지털 경제 확산에 '긱 워커' 급증했다."
"긱 이코노미","전통적인 고용 관계가 긱 이코노미 등으로 변화하면서 조세 정책 개선이 필요하다."
"나노 테크","고효능 나노 테크 침 상용화에 앞장선다."
"나노 팹","국내에도 기업이 공동으로 사용할 수 있는 나노 팹이 6곳 있다."
"나르시시스트","나르시시스트는 실수를 잘 인정하지 않는다는 연구 결과도 있다."
"나이트","6시간 허탕 후 밤 8시, 100분간의 나이트 낚시가 시작됐다."
"나이트 게임","4, 5, 9월 일요일 5경기 중 1경기가 나이트 게임으로 편성됐다."
"난민 포비아","지난해 난민 숫자가 증가하면서 전 세계로 난민 포비아가 퍼지고 있다."
"난코스","최대 암벽 난코스를 등반한 10살 소녀의 어른스러운 소감이 화제다."
"내러티브","탄탄한 대본과 내러티브가 극의 짜임새를 살리며 생동감을 불어넣고 있다."
"내레이션","주인공을 설명하는 영화 초반의 내레이션은 이렇다."
"내레이터","유명인보다는 전문 <<나레이터>>의 협업을 지향한다"
"내셔널 트러스트","비무장 지대·농촌 마을·소나무, 내셔널 트러스트 운동으로 지킨다."
"내셔널리즘","한·일 문화, 내셔널리즘을 넘어서야 한다."
"내추럴 컬러","내추럴 컬러로 편안한 공간 연출에 도움을 준다."
"내추럴 톤","거실에는 내추럴 톤의 가구와 나무를 조화롭게 배치했다."
"내추럴리즘","내추럴리즘 열풍에 ‘린넨’ 소재가 주목받고 있다."
"너지","충남 경찰, '너지'로 음주 운전 예방한다."
"넘버","탑승구'넘버' 10번으로 오시기 바랍니다."
"넘버 2","외국인 납치 일삼는 필리핀 반군 '넘버 2' 체포됐다."
"넘버 3","코로나 백신 전쟁, 미국 제약사 넘버 3도 참여했다."
"넘버 플레이트","후면부 중앙에 있던 넘버 플레이트가 하단으로 내려왔다."
"넘버링","한우 등급 기준 완화에 따라 세분화된 넘버링을 추진한다."
"넘버원","자립형 생태계 구축에는 수소 도시가 '넘버원'이다."
"넘버원 브랜드","경기 지역 넘어 대한민국 넘버원 브랜드 될 것이다."
"넘버원 파트너","베트남, 한국 수출 넘버원 파트너로 격상된다."
"네거티브","정책·공약 대결 사라지고 네거티브만 난무한다."
"네거티브 규제","새싹 기업 성장하려면 네거티브 규제로 전환해야 한다."
"네거티브 리스트","포장재 소재 중 환경적으로 유해하거나 재활용이 어려운 재질을 네거티브 리스트로 선정하고 이를 사용하지 않겠다고 밝혔다."
"네거티브 존","산업 단지에 서비스업 입주 가능한 '네거티브 존' 생긴다."
"네고","네고 달인 앞세워 대북 협상에 나선다."
"네버 코비드","코로나 불안에 집콕 휴가를 즐기는 네버 코비드족이 늘고 있다."
"네버엔딩","<<네버 엔딩>> 먹방으로 설계한 전남 식도락 여행을 즐겨 보자."
"네오클래시시즘","네오클래시시즘의 창시자인 무용가 조지 발란신을 소개한다."
"네오클래식","대중성 품은 '네오클래식'음악으로 첼로의 새 매력을 들려준다."
"네오파시즘","이탈리아 유명 도서전이 네오파시즘 출판사의 참여를 놓고 논란에 휘말렸다."
"네온사인","이번 전시에서는 음악과 네온사인이 어울려 환상적인 분위기를 만들어 냈다."
"네이미스트","네이미스트는 애매한 모든 것을 한 단어로 정의하는 제목 장인이다."
"네이밍","양평청소년문화의집은 청소년들을 대상으로 네이밍 공모전을 진행한다."
"네이비","승진 심사에는 네이비색 넥타이가 잘 어울린다."
"네일","네일 관련 제품 매출이 꾸준히 늘고 있다."
"네일 아트","네일 아트가 남자들의 세계로 들어왔다."
"네일 케어","한국철도 익산역, 무료 네일 케어 서비스 시작했다."
"네일숍","국가철도공단, '네일숍'으로 장애인 일자리 창출 협력 사업 추진한다."
"네일아티스트","“남자가 무슨 네일아티스트” 학교에서 여전히 성차별적 진로 교육한다."
"네임 밸류","학교 네임 밸류 걱정 없는 환경을 만들어야 한다."
"네트 런처","공항 철도, 호신용품 '네트 런처' 도입한다."
"네트 제로","유럽 연합, 브뤼셀 정상 회담에서 2050년까지 '네트 제로' 약속했다."
"네트워크","인공지능 분야 창업 지원, 협력 네트워크 구축 등 청년 창업을 지원한다."
"네트워킹","한-중앙아시아, 경제 협의체 설립해 기업인 네트워킹 지원한다."
"네트워킹 데이","네트워킹 데이를 열어 사회적 경제 기업 간 협업과 교류를 촉진하고 있다."
"네티즌","“엄마가 준 100원 모았어요” 초등학생 기부 사연에 네티즌 울었다."
"네티켓","학교에서 네티켓을 가르친다."
"넥 쿨러","이 중 기내 반입이 가능한 넥 쿨러 상품이 동남아시아 여행객들 사이에 주목 받고 있다."
"노 개런티","소상공인들을 위한 공익 광고에 '노 개런티'로 출연했다."
"노 딜","‘노 딜’ 평가 일러, ‘대화의 문’ 완전히 닫히진 않았다."
"노 리턴","이윤을 위해서는 위험을 감수해야 한다는 노 리스크 노 리턴의 법칙이 있다."
"노 마진","중기부, 공영홈쇼핑으로 마스크 100만개 노 마진으로 판매한다."
"노 메이크업","요즘은 연예인들도 노 메이크업이 대세다."
"노 브랜드","교복도 저렴한 노 브랜드 교복이 대세다."
"노 세일","‘노 세일’ 고집해 온 백화점 식당가, 첫 할인 판매 시행한다."
"노 옵션","노 옵션 제주 여행이 인기다."
"노 카운트","노 카운트 등 판정 논란에 인공 지능 심판을 도입하자는 목소리도 나온다."
"노동 코스트","노동 생산성은 그대로인데 노동 코스트만 증가한다."
"노르딕","영암군, ‘노르딕 걷기 체험 교육’ 실시한다."
"노르딕 스틱","노르딕 스틱을 바닥에 내려놓거나 엉덩이 뒤쪽까지 밀 때 팔을 굽히지 않은 상태로 최대한 길게 뻗는 것이 좋다."
"노르딕 워킹","고령자 건강관리의 비법은 노르딕 워킹이다."
"노마드","저축 은행이 고금리 예금을 선보여 금리 노마드족 유치에 나섰다."
"노마드 워커","노마드 워커를 위한 바다 위 사무실을 연다."
"노미네이트","위안부 피해자의 삶, '풀' 프랑스 아시아만화상에 노미네이트됐다."
"노믹스","최장수 총리 아베, 아베노믹스는 성공했나?"
"노블레스 오블리주","코로나 위기 속에서 노블레스 오블리주가 더 빛난다."
"노쇼","정부는 오늘부터 노쇼에 대한 위약금 규정을 새로 적용한다."
"노스모킹","체육 공원 일대를 노스모킹 구역으로 지정한다."
"노스탤지어","삶과 추억 간직한 노스탤지어의 공간을 만든다."
"노이즈","레코드가 내는 빗소리 같은 노이즈는 묘한 감수성을 일으킨다."
"노이즈 마케팅","노이즈 마케팅으로 오히려 소비자들의 반발감을 샀다는 분석이다."
"노이즈 스크린","8개 차종의 노이즈 스크린과 연료 분사기를 무상으로 교체할 계획이다."
"노이즈 캔슬링","새로 나온 이어폰은 가성비에 노이즈 캔슬링 더했다."
"노코멘트","한일 관계 관련 질문에는 노코멘트로 답했다."
"노키즈","인권위에서 노키즈 식당은 아동 차별이라고 결론을 내렸다."
"노키즈존","노키즈존은 필수 불가결한 것일까?"
"노파킹","노파킹 안내 문구도 깔끔하게 연출해보세요."
"노하우","한국 방역 노하우 지구 반대편 중남미에 알려준다."
"녹다운","닷새 동안 1500명 검사한 의료진들은 녹다운 상태였다."
"녹아웃","녹아웃 조 추첨 완료, 경기는 이제 시작됐다."
"논 슬립","고객 안전을 위해 워터파크 전역에 논 슬립 바닥 보수 공사를 했다."
"논버벌","뉴욕을 기반으로 활동하는 논버벌 공연 그룹 아크로부포스의 대표작 ‘에어 플레이’가 28개국을 거치고 첫 내한공연을 위해 강동아트센터를 찾는다."
"논픽션","논픽션 영화의 이유 있는 자신감은 바로 철저한 고증이다."
"뉘앙스","뉘앙스까지 살린 통역이 눈길을 끌었다."
"뉴 그린","홍성군은 뉴 그린 국가산업단지를 추진했다."
"뉴 노멀","뉴 노멀 시대의 한국 경제, 위기인가, 기회인가?"
"뉴 리더","대구 남구는 지역 복지 뉴 리더를 양성하는 교육을 진행한다."
"뉴 미디어","뉴 미디어 활용해 지역 명소 알린다."
"뉴 스페이스","다누리 발사로 한국 뉴 스페이스 기업이 뜨고 있다."
"뉴 테크","주로 디지털 기술에 기반을 둔 뉴 테크 기업의 주식이 각광받았다."
"뉴 트렌드","뉴 트렌드로 자리 잡은 원격 근무가 기업 보안의 가장 취약한 고리다."
"뉴 페이스","뉴 페이스 가득한 남자 배구에 기대가 크다."
"뉴런","참기 어려운 알레르기, 감각 뉴런 차단 경로 알아냈다."
"뉴스레터","친구에게 받은 손 편지처럼 감성 더한 뉴스레터가 인기를 끌고 있다."
"뉴트럴","경기 불황에 '립스틱' 바르는 남자, 화장품도 뉴트럴 시대가 도래했다."
"뉴트로","뉴트로 열풍에 아재 입맛 먹거리가 인기를 끌고 있다."
"뉴트리션","선수단의 건강과 체력 관리를 위해 뉴트리션 제품을 후원한다."
"니어쇼어링","특히 멕시코는 생산거점으로의 다양한 적합 요인을 갖추고 있어 니어쇼어링 효과를 극대화하고 있다."
"니즈","비대면 고객 니즈를 위한 '보이는 상담 서비스'를 도입했다."
"니트족","노부모에 얹혀사는 40대 니트족이 20만 명에 달한다."
"닉네임","과장·부장님 대신 영어 닉네임 부르고, 재택근무한다."
"님비","님비에 4차 산업이 막혔다."
"다우너 소","원인 불명 '다우너 소' 도축·유통한 일당이 입건됐다."
"다운 계약","다운 계약 방치에 분양권 시장이 멍든다."
"다운 사이클","‘다운 사이클’ 타격 입은 유화 업계, 새해에는 ‘버티기’ 전략 나선다."
"다운 스트림","가스 발전 등 새로운 다운 스트림 사업에 진출해야 한다고 강조한다."
"다운 턴","사업 다각화와 초격차로 다운 턴을 정면 돌파한다."
"다운되다","지난 주말, 위키피디아 서버가 <<다운됐다.>>"
"다운라이트","천장에 다운라이트를 설치하더라도 테이블이나 가구를 중심으로 초점을 맞춰서 비춰줘야 한다."
"다운로드","연말정산 간소화 서비스에서 산후 조리원 비용도 다운로드 할 수 있다."
"다운로딩","도서관 누리집에서 관련 자료를 다운로딩 할 수 있습니다."
"다운사이징","비효율 자산 매각 등 '다운사이징' 나선다."
"다운타운","덴버국제공항에서 다운타운까지 공항철도가 연결돼 있다."
"다이내믹","민첩하면서도 다이내믹한 소형 전기차가 인기를 끌고 있다."
"다이내믹 메모리","가상화 관련 기능을 추가해 다이내믹 메모리를 지원하게 됐다."
"다이내믹 프라이싱","영국에서 유명 가수의 공연 티켓이 '다이내믹 프라이싱'으로 인해 천정부지로 가격이 치솟았다."
"다이렉트","제조사가 소비자와 다이렉트로 소통한다."
"다이어리","새해를 맞이하며 다이어리를 장만하는 게 연례 행사가 되었다."
"다이얼로그","러시아 부총리, 한국 기업과 다이얼로그 시간을 연다."
"다이크","다이크 작업을 통해 장마철 사면 붕괴를 막는 데 집중하고 있다."
"다크 너지","나도 모르게 자동 결제되는 다크 너지 안 당하려면?"
"다크 모드","잘 자려고 만든 휴대폰 '다크 모드'가 수면을 방해할 수 있다."
"다크 스토어","다크 스토어는 온라인 주문 상품을 30분 안에 선별과 포장을 마쳐 배송한다."
"다크 웹","범죄의 온상이 된 다크 웹, 공급망 분석해서 꼬리 잡는다."
"다크 컬러","올 가을 남성복은 다크 컬러가 강세를 보이고 있다."
"다크 투어","친일파 묘지, 아우슈비츠처럼 다크 투어 가능할까?"
"다크 투어리즘","친일파 묘지, 아우슈비츠처럼 다크 투어리즘 가능할까?"
"다크 패턴","나도 모르게 속는 다크 패턴을 조심해야 한다."
"다크서클","다크서클 색깔따라 원인도 다르다."
"다크호스","무알콜 맥주 시장의 다크호스가 나타났다."
"닥터","방송 프로그램에서 각 분야 최고의 닥터들이 환자와 질병에 관한 정보를 제공한다."
"닥터 쇼핑","쇼핑하듯 병원 전전하는 닥터 쇼핑이 집단 감염울 불렀다."
"닥터헬기","닥터헬기는 중환자실과 치료 환경이 동일한 수준이다."
"달러라이제이션","주민들도 안 쓰는 북한 화폐, 달러라이제이션이 80%를 초과했다."
"답사 코스","서면에서 가톨릭센터까지, 6월 항쟁 표석 세워 답사 코스 만든다."
"닷컴버블","20년 전 닷컴버블 연상케 하는 ‘기술주 거품’이 논란이 되고 있다."
"대남 라인","공포 정치에 대남 라인 위축되면 남북 관계 개선은 점점 더 요원해진다."
"대북 이슈","대북 이슈에 밀려 부처 업무 보고에 지각 사태가 속출했다는 소식이다."
"대시보드","차량 대시보드에 숨어 밀입국하려던 17세 아프리카 소녀가 발견되었다."
"대피존","지진 등 광역 재난 피해를 대비해 대피존을 마련해야 한다."
"댄스 장","댄스 장, 노래 교실, 요가 교실 등 경로당이 변신하고 있다."
